Station name                                 	CSU_atmos
Sonde type                                   	RS92-SGP
Sonde serial number                          	J3713986
Release point latitude                       	40.58?N
Release point longitude                      	105.09?W
Release point height from sea level          	1529 m
Balloon release date and time                	2015-09-02T22:05:14
Reason for termination                       	ManualStop
System trademark and model                   	MW41
Terminating altitude                         	13834 m
Surface pressure                             	845.2 hPa
Surface temperature                          	31.9 ?C
Surface relative humidity                    	15 %
Surface wind speed                           	3.1 m/s
Surface wind direction                       	147?
Surface pressure                             	845.1 hPa
Average ascent rate                          	4.1 m/s
Sounding length                              	00:50:03 hh:mm:ss
P correction (Pref - P)                      	1.65 hPa
T correction (Tref - T)                      	-0.26 ?C 
U1 correction (Uref - U1)                    	-1.0 %Rh
U2 correction (Uref - U2)                    	-0.9 %Rh
T temperature                                	26.22 ?C
P pressure                                   	843.66 hPa
Pref pressure                                	845.31 hPa
Tref temperature                             	26.0 ?C
Uref humidity                                	Desiccant 0 %Rh
Software version                             	MW41 2.1.0
Height and pressure in messages is based on  	P Sensor

Elapsed time HeightMSL    Pm  Temp  Dewp    RH Speed   Dir AscRate    Lat      Lon GpsHeightMSL
         555    4006.2 632.9   7.1  -2.4  50.7   3.9 302.6     4.3 40.582 -105.079       3995.2
         556    4010.8 632.5   7.1  -2.4  50.9   3.9 302.6     4.6 40.581 -105.079       3999.4
         557    4015.4 632.1   7.0  -2.4  51.0   3.9 302.5     4.6 40.581 -105.079       4004.1
         558    4020.0 631.8   7.0  -2.4  51.1   3.9 302.5     4.6 40.581 -105.079       4009.3
         559    4024.3 631.5   7.0  -2.4  51.2   3.9 302.6     4.3 40.581 -105.079       4014.5
         560    4028.5 631.1   6.9  -2.4  51.3   3.9 302.6     4.1 40.581 -105.079       4019.4
         561    4032.8 630.8   6.9  -2.4  51.4   3.9 302.7     4.3 40.581 -105.079       4024.0
         562    4037.0 630.5   6.9  -2.4  51.5   3.9 302.9     4.3 40.581 -105.079       4028.3
         563    4041.2 630.2   6.8  -2.4  51.6   3.9 303.0     4.2 40.581 -105.079       4032.1
         564    4045.7 629.8   6.8  -2.4  51.7   3.9 303.2     4.5 40.581 -105.079       4035.9
         565    4051.0 629.4   6.7  -2.5  51.9   3.9 303.3     5.3 40.581 -105.079       4040.5
         566    4057.1 628.9   6.7  -2.5  52.0   4.0 303.5     6.1 40.581 -105.079       4045.9
         567    4063.4 628.5   6.6  -2.5  52.1   4.0 303.7     6.3 40.581 -105.078       4051.5
         568    4069.3 628.0   6.6  -2.5  52.3   4.0 304.0     5.8 40.581 -105.078       4057.0
         569    4074.7 627.6   6.5  -2.5  52.4   4.0 304.4     5.5 40.581 -105.078       4062.2
         570    4080.3 627.2   6.5  -2.5  52.5   4.1 304.9     5.5 40.581 -105.078       4067.3
         571    4086.0 626.7   6.4  -2.5  52.7   4.1 305.3     5.8 40.581 -105.078       4072.6
         572    4091.7 626.3   6.3  -2.6  52.8   4.1 305.8     5.7 40.581 -105.078       4078.4
         573    4097.0 625.9   6.3  -2.6  52.8   4.2 306.4     5.3 40.581 -105.078       4084.2
         574    4101.9 625.5   6.2  -2.6  52.9   4.2 306.9     4.9 40.581 -105.078       4089.7
         575    4106.5 625.2   6.2  -2.6  53.1   4.2 307.4     4.6 40.581 -105.078       4094.9
         576    4110.9 624.8   6.1  -2.6  53.3   4.2 307.9     4.5 40.581 -105.078       4099.7
         577    4115.4 624.5   6.1  -2.6  53.5   4.3 308.3     4.5 40.581 -105.078       4104.4
         578    4119.8 624.2   6.0  -2.6  53.7   4.3 308.8     4.4 40.581 -105.078       4109.0
         579    4124.0 623.8   6.0  -2.6  53.8   4.3 309.4     4.2 40.581 -105.078       4113.5
         580    4128.3 623.5   6.0  -2.7  53.8   4.3 310.1     4.3 40.581 -105.078       4117.9
         581    4133.0 623.2   5.9  -2.7  53.7   4.4 310.8     4.8 40.581 -105.078       4122.4
         582    4138.5 622.7   5.9  -2.7  53.8   4.4 311.4     5.4 40.581 -105.078       4127.4
         583    4144.3 622.3   5.9  -2.7  54.0   4.4 312.1     5.8 40.581 -105.078       4133.0
         584    4150.1 621.9   5.8  -2.7  54.2   4.4 312.7     5.8 40.581 -105.078       4138.8
         585    4155.7 621.4   5.8  -2.7  54.4   4.4 313.1     5.6 40.581 -105.078       4144.6
         586    4160.8 621.0   5.7  -2.7  54.4   4.4 313.5     5.1 40.581 -105.078       4150.1
         587    4165.5 620.7   5.7  -2.8  54.4   4.5 313.9     4.7 40.581 -105.078       4154.9
         588    4169.9 620.4   5.6  -2.8  54.4   4.5 314.4     4.4 40.581 -105.078       4159.1
         589    4174.1 620.0   5.6  -2.8  54.4   4.5 314.9     4.1 40.581 -105.078       4162.8
         590    4178.3 619.7   5.6  -2.9  54.5   4.5 315.4     4.2 40.581 -105.078       4166.8
         591    4182.8 619.4   5.5  -2.9  54.6   4.5 315.8     4.6 40.581 -105.078       4171.5
         592    4187.9 619.0   5.5  -2.9  54.8   4.5 316.2     5.1 40.581 -105.077       4176.8
         593    4193.5 618.6   5.4  -2.9  55.2   4.5 316.6     5.6 40.581 -105.077       4182.2
         594    4199.2 618.1   5.3  -2.8  55.5   4.5 316.9     5.7 40.581 -105.077       4187.7
         595    4204.5 617.7   5.3  -2.8  55.7   4.5 317.1     5.3 40.581 -105.077       4193.2
         596    4209.5 617.4   5.2  -2.8  55.8   4.5 317.3     5.0 40.580 -105.077       4198.5
         597    4214.4 617.0   5.2  -2.9  56.0   4.5 317.4     5.0 40.580 -105.077       4203.6
         598    4219.4 616.6   5.2  -2.9  56.2   4.5 317.5     5.0 40.580 -105.077       4208.5
         599    4224.1 616.3   5.1  -2.9  56.3   4.5 317.6     4.7 40.580 -105.077       4213.3
         600    4228.7 615.9   5.1  -2.9  56.5   4.4 317.7     4.6 40.580 -105.077       4217.8
         601    4233.5 615.6   5.0  -2.9  56.6   4.4 317.7     4.7 40.580 -105.077       4221.9
         602    4238.2 615.2   5.0  -2.9  56.8   4.4 317.7     4.8 40.580 -105.077       4225.9
         603    4242.9 614.8   4.9  -2.9  57.0   4.4 317.7     4.7 40.580 -105.077       4230.3
         604    4247.5 614.5   4.9  -2.9  57.2   4.4 317.7     4.6 40.580 -105.077       4234.7
         605    4252.1 614.1   4.8  -2.9  57.3   4.4 317.7     4.7 40.580 -105.077       4239.5
         606    4256.8 613.8   4.8  -2.9  57.5   4.4 317.7     4.7 40.580 -105.077       4244.5
         607    4261.3 613.5   4.7  -2.9  57.6   4.4 317.6     4.5 40.580 -105.077       4249.5
         608    4265.4 613.1   4.7  -2.9  57.7   4.4 317.5     4.1 40.580 -105.077       4254.1
         609    4269.2 612.9   4.7  -2.9  57.8   4.4 317.5     3.8 40.580 -105.077       4258.2
         610    4272.9 612.6   4.6  -3.0  57.8   4.3 317.4     3.8 40.580 -105.077       4261.9
         611    4276.8 612.3   4.6  -3.0  57.7   4.3 317.3     3.9 40.580 -105.077       4265.7
         612    4280.8 612.0   4.6  -3.0  57.7   4.3 317.2     4.0 40.580 -105.077       4269.8
         613    4284.8 611.7   4.5  -3.0  57.9   4.3 317.0     4.0 40.580 -105.077       4274.0
         614    4288.8 611.4   4.5  -3.0  58.0   4.3 316.8     4.0 40.580 -105.077       4278.3
         615    4292.9 611.1   4.4  -3.1  58.1   4.3 316.6     4.0 40.580 -105.077       4282.7
         616    4297.1 610.8   4.4  -3.1  58.1   4.3 316.5     4.2 40.580 -105.077       4287.0
         617    4301.5 610.4   4.4  -3.1  58.1   4.3 316.3     4.5 40.580 -105.077       4291.3
         618    4306.1 610.1   4.3  -3.2  58.1   4.3 316.0     4.6 40.580 -105.077       4295.6
         619    4310.7 609.8   4.3  -3.2  58.2   4.3 315.8     4.6 40.580 -105.077       4300.1
         620    4315.4 609.4   4.3  -3.2  58.3   4.3 315.4     4.7 40.580 -105.077       4304.8
         621    4320.4 609.0   4.2  -3.2  58.4   4.3 315.0     5.0 40.580 -105.077       4309.6
         622    4325.8 608.6   4.2  -3.2  58.4   4.3 314.6     5.4 40.580 -105.076       4314.5
         623    4331.4 608.2   4.1  -3.3  58.5   4.3 314.2     5.5 40.580 -105.076       4319.6
         624    4336.6 607.8   4.1  -3.3  58.5   4.3 313.7     5.2 40.580 -105.076       4324.6
         625    4341.2 607.5   4.1  -3.4  58.3   4.3 313.3     4.6 40.580 -105.076       4329.3
         626    4345.5 607.1   4.1  -3.4  58.0   4.3 313.0     4.3 40.580 -105.076       4333.8
         627    4350.2 606.8   4.1  -3.5  57.6   4.3 312.5     4.7 40.580 -105.076       4338.8
         628    4355.5 606.4   4.1  -3.5  57.4   4.4 312.1     5.4 40.579 -105.076       4344.4
         629    4361.2 606.0   4.1  -3.6  57.3   4.4 311.6     5.7 40.579 -105.076       4350.5
         630    4367.0 605.6   4.1  -3.6  57.2   4.4 311.2     5.7 40.579 -105.076       4356.7
         631    4372.2 605.2   4.0  -3.7  57.2   4.4 310.7     5.3 40.579 -105.076       4362.3
         632    4376.8 604.8   4.0  -3.7  57.1   4.5 310.1     4.6 40.579 -105.076       4366.9
         633    4381.1 604.5   3.9  -3.8  57.1   4.5 309.5     4.3 40.579 -105.076       4371.0
         634    4385.4 604.2   3.9  -3.8  57.1   4.5 309.1     4.4 40.579 -105.076       4375.2
         635    4390.2 603.8   3.9  -3.8  57.2   4.6 308.7     4.7 40.579 -105.076       4379.8
         636    4395.3 603.4   3.8  -3.8  57.3   4.6 308.3     5.1 40.579 -105.076       4384.8
         637    4400.5 603.1   3.8  -3.9  57.3   4.6 307.9     5.2 40.579 -105.076       4390.0
         638    4405.5 602.7   3.8  -3.9  57.3   4.7 307.4     5.0 40.579 -105.076       4395.2
         639    4410.1 602.3   3.7  -3.9  57.4   4.7 306.8     4.7 40.579 -105.076       4400.2
         640    4414.5 602.0   3.7  -3.9  57.4   4.8 306.3     4.4 40.579 -105.076       4404.9
         641    4418.7 601.7   3.6  -4.0  57.5   4.8 305.8     4.1 40.579 -105.076       4409.0
         642    4422.5 601.4   3.6  -4.0  57.6   4.8 305.4     3.8 40.579 -105.076       4412.9
         643    4426.1 601.2   3.6  -4.0  57.8   4.9 305.0     3.7 40.579 -105.076       4417.0
         644    4429.9 600.9   3.5  -3.9  58.0   4.9 304.5     3.7 40.579 -105.076       4421.3
         645    4433.8 600.6   3.5  -4.0  58.1   5.0 304.0     3.9 40.579 -105.076       4425.5
         646    4437.9 600.3   3.4  -4.0  58.2   5.0 303.5     4.1 40.579 -105.076       4429.1
         647    4442.1 600.0   3.4  -4.0  58.2   5.1 303.1     4.2 40.579 -105.076       4432.4
         648    4446.5 599.7   3.4  -4.1  58.1   5.1 302.8     4.4 40.579 -105.075       4435.9
         649    4450.9 599.3   3.3  -4.2  57.8   5.1 302.4     4.4 40.579 -105.075       4439.9
         650    4455.2 599.0   3.3  -4.2  57.5   5.2 302.0     4.3 40.579 -105.075       4444.6
         651    4459.5 598.7   3.3  -4.3  57.4   5.2 301.6     4.3 40.579 -105.075       4449.6
         652    4464.1 598.4   3.2  -4.4  57.4   5.2 301.2     4.6 40.579 -105.075       4454.3
         653    4469.1 598.0   3.2  -4.4  57.5   5.3 300.7     5.0 40.579 -105.075       4458.5
         654    4474.1 597.6   3.1  -4.4  57.6   5.3 300.3     5.0 40.579 -105.075       4462.9
         655    4478.8 597.3   3.1  -4.4  57.7   5.3 299.8     4.8 40.579 -105.075       4467.7
         656    4483.7 596.9   3.0  -4.5  57.8   5.3 299.3     4.8 40.579 -105.075       4472.5
         657    4488.7 596.5   3.0  -4.5  57.9   5.3 298.9     5.0 40.579 -105.075       4477.2
         658    4493.7 596.2   2.9  -4.5  58.1   5.3 298.4     5.0 40.579 -105.075       4481.8
         659    4498.6 595.8   2.9  -4.5  58.3   5.3 297.8     4.9 40.579 -105.075       4486.7
         660    4503.7 595.4   2.9  -4.5  58.4   5.3 297.2     5.1 40.579 -105.075       4492.3
         661    4509.3 595.0   2.8  -4.5  58.6   5.3 296.5     5.7 40.579 -105.075       4498.4
         662    4515.7 594.6   2.7  -4.5  58.9   5.3 295.8     6.3 40.579 -105.075       4504.7
         663    4522.0 594.1   2.7  -4.5  59.1   5.3 295.1     6.4 40.579 -105.075       4510.9
         664    4527.9 593.7   2.6  -4.5  59.3   5.2 294.3     5.9 40.579 -105.075       4517.1
         665    4533.3 593.3   2.6  -4.5  59.5   5.2 293.4     5.4 40.579 -105.075       4523.4
         666    4538.5 592.9   2.5  -4.5  59.7   5.2 292.5     5.2 40.579 -105.074       4529.1
         667    4543.8 592.5   2.5  -4.5  59.9   5.1 291.6     5.3 40.579 -105.074       4534.1
         668    4549.2 592.1   2.4  -4.5  60.0   5.1 290.6     5.4 40.578 -105.074       4538.9
         669    4554.4 591.7   2.4  -4.5  60.1   5.1 289.7     5.3 40.578 -105.074       4543.8
         670    4559.5 591.3   2.4  -4.6  60.1   5.1 288.9     5.1 40.578 -105.074       4549.0
         671    4564.6 591.0   2.3  -4.6  60.3   5.1 288.2     5.1 40.578 -105.074       4554.1
         672    4569.9 590.6   2.2  -4.6  60.5   5.0 287.3     5.3 40.578 -105.074       4559.2
         673    4575.3 590.2   2.2  -4.6  60.7   5.0 286.3     5.4 40.578 -105.074       4564.2
         674    4580.9 589.8   2.1  -4.6  61.0   5.0 285.3     5.5 40.578 -105.074       4569.7
         675    4586.6 589.4   2.1  -4.6  61.2   5.0 284.2     5.8 40.578 -105.074       4575.7
         676    4592.8 588.9   2.0  -4.6  61.5   5.0 283.1     6.2 40.578 -105.074       4581.9
         677    4599.3 588.4   1.9  -4.6  61.7   5.0 282.1     6.4 40.578 -105.074       4588.0
         678    4605.3 588.0   1.9  -4.7  61.9   5.0 281.1     6.0 40.578 -105.074       4593.8
         679    4610.6 587.6   1.8  -4.7  62.0   5.0 280.2     5.3 40.578 -105.074       4599.5
         680    4615.4 587.3   1.8  -4.7  62.2   5.0 279.3     4.8 40.578 -105.074       4604.9
         681    4619.9 586.9   1.7  -4.7  62.2   5.0 278.5     4.5 40.578 -105.074       4610.0
         682    4624.5 586.6   1.7  -4.7  62.3   5.0 277.8     4.6 40.578 -105.074       4614.7
         683    4629.3 586.3   1.7  -4.8  62.2   5.1 277.1     4.8 40.578 -105.074       4619.0
         684    4634.1 585.9   1.6  -4.9  62.0   5.1 276.5     4.9 40.578 -105.073       4623.2
         685    4638.8 585.6   1.6  -4.9  61.7   5.1 276.0     4.7 40.578 -105.073       4627.3
         686    4643.3 585.2   1.6  -5.0  61.5   5.1 275.6     4.5 40.578 -105.073       4631.8
         687    4647.7 584.9   1.6  -5.0  61.6   5.1 275.2     4.4 40.578 -105.073       4636.5
         688    4652.4 584.6   1.5  -5.0  61.7   5.1 274.9     4.6 40.578 -105.073       4641.2
         689    4657.2 584.2   1.5  -5.0  61.9   5.2 274.7     4.8 40.578 -105.073       4645.8
         690    4661.7 583.9   1.4  -5.0  62.0   5.2 274.5     4.6 40.578 -105.073       4650.2
         691    4665.8 583.6   1.4  -5.1  62.1   5.2 274.3     4.1 40.578 -105.073       4654.4
         692    4669.6 583.3   1.4  -5.1  62.1   5.2 274.2     3.8 40.578 -105.073       4658.6
         693    4673.7 583.0   1.3  -5.1  62.2   5.2 274.1     4.1 40.578 -105.073       4663.0
         694    4678.0 582.7   1.3  -5.1  62.3   5.2 274.1     4.4 40.578 -105.073       4667.2
         695    4682.6 582.4   1.3  -5.1  62.4   5.2 274.0     4.5 40.578 -105.073       4671.5
         696    4687.1 582.1   1.2  -5.1  62.5   5.2 274.0     4.5 40.578 -105.073       4676.1
         697    4691.8 581.7   1.2  -5.1  62.7   5.2 274.0     4.7 40.578 -105.073       4681.3
         698    4696.6 581.4   1.1  -5.1  63.0   5.2 273.9     4.7 40.578 -105.073       4686.8
         699    4701.1 581.1   1.1  -5.1  63.2   5.2 273.9     4.5 40.578 -105.073       4691.7
         700    4705.6 580.7   1.0  -5.1  63.4   5.2 273.9     4.5 40.578 -105.072       4695.9
         701    4709.8 580.4   1.0  -5.1  63.5   5.1 273.9     4.2 40.578 -105.072       4699.6
         702    4713.9 580.1   1.0  -5.2  63.4   5.1 273.8     4.1 40.578 -105.072       4703.2
         703    4717.9 579.8   1.0  -5.2  63.3   5.1 273.8     4.1 40.578 -105.072       4707.1
         704    4722.0 579.6   0.9  -5.3  63.2   5.1 273.8     4.0 40.578 -105.072       4711.1
         705    4725.9 579.3   0.9  -5.3  63.3   5.1 273.7     3.9 40.578 -105.072       4715.3
         706    4729.8 579.0   0.8  -5.3  63.6   5.1 273.6     3.9 40.578 -105.072       4719.5
         707    4733.9 578.7   0.8  -5.3  63.9   5.0 273.6     4.1 40.578 -105.072       4723.5
         708    4738.2 578.4   0.7  -5.2  64.2   5.0 273.5     4.3 40.578 -105.072       4727.5
         709    4742.4 578.1   0.7  -5.2  64.4   5.0 273.4     4.2 40.578 -105.072       4731.5
         710    4746.6 577.8   0.7  -5.2  64.7   4.9 273.3     4.2 40.578 -105.072       4735.5
         711    4750.7 577.5   0.6  -5.2  64.9   4.9 273.2     4.2 40.578 -105.072       4739.4
         712    4754.8 577.2   0.6  -5.2  65.2   4.9 273.0     4.1 40.578 -105.072       4743.3
         713    4758.7 576.9   0.5  -5.2  65.4   4.8 272.9     3.9 40.578 -105.072       4747.1
         714    4762.4 576.6   0.5  -5.2  65.5   4.8 272.7     3.7 40.578 -105.072       4750.9
         715    4766.0 576.4   0.5  -5.2  65.6   4.8 272.5     3.6 40.578 -105.072       4754.8
         716    4769.7 576.1   0.5  -5.2  65.6   4.7 272.3     3.7 40.578 -105.072       4758.8
         717    4773.5 575.9   0.5  -5.2  65.6   4.7 272.1     3.8 40.578 -105.072       4763.0
         718    4777.3 575.6   0.4  -5.2  65.6   4.7 272.0     3.8 40.578 -105.071       4767.0
         719    4781.1 575.3   0.4  -5.3  65.4   4.7 271.9     3.8 40.578 -105.071       4770.9
         720    4785.0 575.0   0.4  -5.3  65.2   4.7 271.8     3.9 40.578 -105.071       4774.5
         721    4788.8 574.8   0.4  -5.4  64.9   4.6 271.6     3.9 40.578 -105.071       4777.9
         722    4792.6 574.5   0.4  -5.4  64.6   4.6 271.4     3.8 40.578 -105.071       4781.5
         723    4796.3 574.2   0.4  -5.5  64.5   4.6 271.1     3.7 40.578 -105.071       4785.6
         724    4800.0 574.0   0.4  -5.5  64.5   4.6 270.8     3.7 40.578 -105.071       4789.8
         725    4803.9 573.7   0.4  -5.5  64.5   4.5 270.4     3.9 40.578 -105.071       4794.0
         726    4807.8 573.4   0.3  -5.5  64.7   4.5 270.1     3.9 40.578 -105.071       4798.2
         727    4811.7 573.1   0.3  -5.6  64.8   4.5 269.8     3.9 40.578 -105.071       4802.4
         728    4815.7 572.8   0.3  -5.6  64.8   4.5 269.6     4.0 40.578 -105.071       4806.4
         729    4819.8 572.5   0.2  -5.6  64.9   4.5 269.4     4.1 40.578 -105.071       4810.1
         730    4823.7 572.3   0.2  -5.7  64.8   4.5 269.3     4.0 40.578 -105.071       4813.6
         731    4827.5 572.0   0.1  -5.7  64.7   4.4 269.1     3.8 40.578 -105.071       4817.3
         732    4831.3 571.7   0.1  -5.8  64.7   4.4 268.9     3.8 40.578 -105.071       4821.2
         733    4835.1 571.4   0.1  -5.8  64.7   4.4 268.7     3.8 40.578 -105.071       4825.3
         734    4839.0 571.2   0.0  -5.8  64.7   4.4 268.5     3.8 40.578 -105.071       4829.5
         735    4843.0 570.9   0.0  -5.8  64.8   4.4 268.2     4.0 40.578 -105.071       4833.4
         736    4846.9 570.6   0.0  -5.8  65.0   4.4 268.0     3.9 40.578 -105.070       4837.1
         737    4850.6 570.3  -0.1  -5.8  65.2   4.4 267.7     3.7 40.578 -105.070       4840.6
         738    4854.3 570.1  -0.1  -5.8  65.4   4.4 267.4     3.7 40.578 -105.070       4844.5
         739    4858.3 569.8  -0.2  -5.8  65.6   4.4 267.1     4.0 40.578 -105.070       4848.6
         740    4862.3 569.5  -0.2  -5.8  65.6   4.4 266.7     4.1 40.578 -105.070       4852.8
         741    4866.4 569.2  -0.2  -5.8  65.6   4.4 266.3     4.1 40.578 -105.070       4857.0
         742    4870.6 568.9  -0.2  -5.8  65.7   4.4 266.0     4.2 40.578 -105.070       4861.1
         743    4875.1 568.6  -0.2  -5.9  65.8   4.4 265.7     4.5 40.578 -105.070       4865.3
         744    4879.8 568.3  -0.3  -5.9  65.9   4.5 265.4     4.7 40.578 -105.070       4869.6
         745    4884.4 567.9  -0.3  -5.9  65.9   4.5 265.1     4.6 40.578 -105.070       4874.0
         746    4888.8 567.6  -0.4  -5.9  65.9   4.5 264.8     4.4 40.578 -105.070       4878.4
         747    4893.2 567.3  -0.4  -6.0  65.8   4.5 264.6     4.4 40.578 -105.070       4882.9
         748    4897.7 567.0  -0.4  -6.0  65.9   4.5 264.5     4.5 40.578 -105.070       4887.8
         749    4902.4 566.7  -0.5  -6.0  66.0   4.6 264.3     4.7 40.578 -105.070       4892.9
         750    4907.2 566.3  -0.5  -6.0  66.2   4.6 264.2     4.8 40.578 -105.070       4898.1
         751    4912.3 566.0  -0.5  -6.0  66.3   4.6 264.1     5.0 40.578 -105.070       4903.3
         752    4917.6 565.6  -0.6  -6.1  66.4   4.6 263.9     5.3 40.578 -105.070       4908.5
         753    4923.0 565.2  -0.6  -6.1  66.5   4.7 263.8     5.4 40.579 -105.070       4913.4
         754    4928.1 564.9  -0.7  -6.1  66.6   4.7 263.7     5.1 40.579 -105.070       4918.1
         755    4932.8 564.5  -0.7  -6.2  66.7   4.7 263.6     4.8 40.579 -105.070       4922.6
         756    4937.4 564.2  -0.8  -6.2  66.8   4.7 263.5     4.6 40.579 -105.070       4927.2
         757    4941.9 563.9  -0.8  -6.2  66.9   4.7 263.4     4.6 40.579 -105.069       4932.0
         758    4946.5 563.6  -0.9  -6.2  67.1   4.8 263.4     4.6 40.579 -105.069       4936.6
         759    4950.9 563.2  -0.9  -6.2  67.2   4.8 263.4     4.4 40.579 -105.069       4940.9
         760    4955.1 562.9  -0.9  -6.2  67.3   4.8 263.3     4.2 40.579 -105.069       4944.8
         761    4959.3 562.7  -1.0  -6.2  67.5   4.8 263.3     4.2 40.579 -105.069       4948.5
         762    4963.5 562.4  -1.0  -6.2  67.7   4.8 263.2     4.2 40.579 -105.069       4952.3
         763    4967.7 562.1  -1.1  -6.2  67.9   4.8 263.1     4.2 40.579 -105.069       4956.1
         764    4971.7 561.8  -1.1  -6.2  68.1   4.8 263.1     4.0 40.579 -105.069       4959.9
         765    4975.4 561.5  -1.1  -6.3  68.2   4.8 263.1     3.8 40.579 -105.069       4963.8
         766    4979.1 561.3  -1.2  -6.3  68.4   4.8 263.0     3.7 40.579 -105.069       4967.7
         767    4982.8 561.0  -1.2  -6.3  68.5   4.8 263.0     3.7 40.579 -105.069       4971.7
         768    4986.6 560.7  -1.3  -6.3  68.7   4.8 263.0     3.8 40.579 -105.069       4975.8
         769    4990.4 560.5  -1.3  -6.3  68.8   4.8 263.0     3.8 40.579 -105.069       4979.8
         770    4994.2 560.2  -1.3  -6.3  68.9   4.8 263.0     3.8 40.579 -105.069       4983.8
         771    4998.2 559.9  -1.4  -6.3  69.0   4.8 263.0     3.9 40.579 -105.069       4987.7
         772    5002.1 559.6  -1.4  -6.3  69.2   4.7 263.0     4.0 40.579 -105.069       4991.6
         773    5006.0 559.4  -1.4  -6.3  69.2   4.7 263.0     3.9 40.579 -105.069       4995.3
         774    5009.8 559.1  -1.5  -6.3  69.3   4.7 263.1     3.8 40.579 -105.068       4999.0
         775    5013.7 558.8  -1.5  -6.3  69.4   4.7 263.1     3.9 40.579 -105.068       5003.1
         776    5018.0 558.5  -1.5  -6.4  69.5   4.7 263.2     4.4 40.579 -105.068       5007.8
         777    5023.1 558.2  -1.6  -6.4  69.7   4.7 263.3     5.0 40.579 -105.068       5012.7
         778    5028.6 557.8  -1.6  -6.4  69.9   4.7 263.4     5.5 40.579 -105.068       5017.9
         779    5034.3 557.4  -1.7  -6.4  70.1   4.7 263.5     5.7 40.579 -105.068       5023.3
         780    5040.3 557.0  -1.7  -6.4  70.3   4.7 263.7     6.0 40.579 -105.068       5029.0
         781    5046.8 556.5  -1.8  -6.4  70.5   4.7 264.0     6.5 40.579 -105.068       5035.3
         782    5053.4 556.0  -1.8  -6.5  70.6   4.7 264.2     6.6 40.579 -105.068       5041.9
         783    5059.5 555.6  -1.9  -6.5  70.8   4.8 264.5     6.0 40.579 -105.068       5048.4
         784    5064.6 555.3  -1.9  -6.5  70.8   4.8 264.7     5.1 40.579 -105.068       5054.4
         785    5069.0 555.0  -2.0  -6.6  70.7   4.8 265.0     4.4 40.579 -105.068       5059.4
         786    5073.0 554.7  -2.0  -6.6  70.4   4.8 265.2     4.0 40.579 -105.068       5063.5
         787    5076.8 554.4  -2.0  -6.7  69.8   4.9 265.4     3.8 40.579 -105.068       5067.0
         788    5080.6 554.1  -2.0  -6.9  69.2   4.9 265.6     3.8 40.579 -105.068       5070.3
         789    5084.3 553.9  -2.0  -6.9  68.7   5.0 265.8     3.7 40.579 -105.068       5073.5
         790    5087.9 553.6  -2.0  -7.0  68.5   5.0 266.0     3.6 40.579 -105.068       5077.0
         791    5091.6 553.4  -2.0  -7.0  68.4   5.1 266.2     3.6 40.579 -105.068       5080.9
         792    5095.4 553.1  -2.0  -7.0  68.4   5.1 266.5     3.8 40.579 -105.068       5085.0
         793    5099.4 552.8  -2.0  -7.1  68.4   5.2 266.7     4.1 40.579 -105.067       5089.0
         794    5103.6 552.6  -2.1  -7.1  68.3   5.3 266.9     4.1 40.579 -105.067       5092.7
         795    5107.7 552.3  -2.1  -7.2  68.3   5.3 267.0     4.1 40.579 -105.067       5096.4
         796    5111.9 552.0  -2.1  -7.2  68.2   5.4 267.1     4.2 40.579 -105.067       5100.7
         797    5116.0 551.7  -2.2  -7.3  68.1   5.4 267.2     4.2 40.579 -105.067       5105.4
         798    5120.1 551.4  -2.2  -7.3  68.2   5.5 267.2     4.1 40.579 -105.067       5109.8
         799    5124.1 551.1  -2.2  -7.3  68.3   5.5 267.3     4.0 40.579 -105.067       5113.9
         800    5128.0 550.9  -2.3  -7.3  68.5   5.6 267.3     3.9 40.579 -105.067       5117.8
         801    5132.0 550.6  -2.3  -7.3  68.7   5.6 267.3     3.9 40.579 -105.067       5121.6
         802    5135.9 550.3  -2.4  -7.3  68.9   5.7 267.3     4.0 40.579 -105.067       5125.3
         803    5140.1 550.0  -2.4  -7.3  69.1   5.8 267.3     4.2 40.579 -105.067       5129.2
         804    5144.5 549.7  -2.4  -7.3  69.2   5.8 267.2     4.4 40.579 -105.067       5133.4
         805    5149.0 549.4  -2.5  -7.3  69.4   5.9 267.1     4.5 40.579 -105.067       5138.0
         806    5153.6 549.1  -2.5  -7.3  69.5   6.0 266.9     4.6 40.579 -105.067       5142.9
         807    5158.5 548.7  -2.6  -7.3  69.6   6.0 266.8     4.9 40.579 -105.067       5147.8
         808    5163.6 548.4  -2.6  -7.4  69.7   6.1 266.6     5.1 40.579 -105.066       5152.6
         809    5168.8 548.0  -2.6  -7.4  69.7   6.1 266.4     5.3 40.579 -105.066       5157.3
         810    5174.4 547.6  -2.7  -7.4  69.7   6.1 266.2     5.6 40.579 -105.066       5162.3
         811    5180.0 547.3  -2.7  -7.5  69.7   6.2 266.1     5.6 40.579 -105.066       5167.8
         812    5186.2 546.8  -2.8  -7.5  70.0   6.2 265.9     6.2 40.579 -105.066       5174.2
         813    5192.8 546.4  -2.9  -7.5  70.4   6.3 265.6     6.6 40.579 -105.066       5180.9
         814    5199.2 545.9  -2.9  -7.5  70.9   6.3 265.4     6.4 40.579 -105.066       5187.4
         815    5205.4 545.5  -3.0  -7.5  71.3   6.3 265.1     6.1 40.579 -105.066       5193.6
