fluxdate    fluxtime    fluxjulian    fluxcarrington  fluxobsflux  fluxadjflux  fluxursi  
20060222    200000      02453789.337  002040.281      000076.0     000074.4     000066.9  
20060222    220000      02453789.421  002040.284      000075.6     000074.0     000066.6  
20060223    180000      02453790.254  002040.314      000075.0     000073.4     000066.1  
20060223    200000      02453790.337  002040.317      000075.1     000073.6     000066.2  
20060223    220000      02453790.421  002040.320      000075.8     000074.3     000066.8  
20060224    180000      02453791.254  002040.351      000075.9     000074.4     000066.9  
20060224    200000      02453791.337  002040.354      000076.0     000074.4     000067.0  
20060224    220000      02453791.421  002040.357      000076.3     000074.7     000067.2  
20060225    180000      02453792.254  002040.388      000075.9     000074.4     000067.0  
20060225    200000      02453792.337  002040.391      000076.0     000074.5     000067.0  
20060225    220000      02453792.421  002040.394      000076.0     000074.5     000067.0  
20060226    180000      02453793.254  002040.424      000076.5     000075.0     000067.5  
20060226    200000      02453793.337  002040.427      000076.5     000075.0     000067.5  
20060226    220000      02453793.421  002040.430      000076.7     000075.2     000067.7  
20060227    180000      02453794.254  002040.461      000076.9     000075.5     000067.9  
20060227    200000      02453794.337  002040.464      000077.0     000075.5     000068.0  
20060227    220000      02453794.421  002040.467      000077.7     000076.2     000068.6  
20060228    180000      02453795.254  002040.498      000076.0     000074.6     000067.1  
20060228    200000      02453795.337  002040.501      000077.1     000075.7     000068.1  
20060228    220000      02453795.421  002040.504      000077.9     000076.5     000068.8  
20060301    170000      02453796.212  002040.533      000076.6     000075.2     000067.7  
20060301    200000      02453796.337  002040.537      000077.0     000075.6     000068.1  
20060301    230000      02453796.462  002040.542      000077.4     000076.0     000068.4  
20060302    170000      02453797.212  002040.570      000076.2     000074.9     000067.4  
20060302    200000      02453797.337  002040.574      000076.1     000074.7     000067.3  
20060302    230000      02453797.462  002040.579      000076.4     000075.1     000067.6  
20060303    170000      02453798.212  002040.606      000075.1     000073.8     000066.4  
20060303    200000      02453798.337  002040.611      000075.5     000074.2     000066.8  
20060303    230000      02453798.462  002040.615      000076.1     000074.8     000067.3  
20060304    170000      02453799.212  002040.643      000074.7     000073.4     000066.1  
20060304    200000      02453799.337  002040.647      000075.0     000073.8     000066.4  
20060304    230000      02453799.462  002040.652      000075.3     000074.1     000066.7  
20060305    170000      02453800.212  002040.680      000073.8     000072.6     000065.3  
20060305    200000      02453800.337  002040.684      000074.2     000073.0     000065.7  
20060305    230000      02453800.462  002040.689      000074.2     000073.0     000065.7  
20060306    170000      02453801.212  002040.716      000073.3     000072.1     000064.9  
20060306    200000      02453801.337  002040.721      000073.6     000072.5     000065.3  
20060306    230000      02453801.462  002040.725      000074.3     000073.1     000065.8  
20060307    170000      02453802.212  002040.753      000074.5     000073.3     000066.0  
20060307    200000      02453802.337  002040.757      000074.4     000073.3     000065.9  
20060307    230000      02453802.462  002040.762      000074.8     000073.6     000066.3  
20060308    170000      02453803.212  002040.789      000070.9     000069.9     000062.9  
20060308    200000      02453803.337  002040.794      000072.4     000071.3     000064.2  
20060308    230000      02453803.462  002040.799      000072.3     000071.3     000064.1  
20060309    170000      02453804.212  002040.826      000072.1     000071.1     000064.0  
20060309    200000      02453804.337  002040.831      000072.9     000071.8     000064.7  
20060309    230000      02453804.462  002040.835      000072.6     000071.6     000064.4  
20060310    170000      02453805.212  002040.863      000071.7     000070.8     000063.7  
20060310    200000      02453805.337  002040.867      000072.2     000071.2     000064.1  
20060310    230000      02453805.462  002040.872      000074.0     000073.0     000065.7  
20060311    170000      02453806.212  002040.899      000073.9     000073.0     000065.7  
20060311    200000      02453806.337  002040.904      000074.0     000073.1     000065.7  
20060311    230000      02453806.462  002040.909      000074.5     000073.5     000066.2  
20060312    170000      02453807.212  002040.936      000073.1     000072.2     000064.9  
20060312    200000      02453807.337  002040.941      000073.2     000072.3     000065.0  
20060312    230000      02453807.462  002040.945      000073.4     000072.4     000065.2  
20060313    170000      02453808.212  002040.973      000072.1     000071.2     000064.1  
20060313    200000      02453808.337  002040.977      000072.6     000071.7     000064.5  
20060313    230000      02453808.462  002040.982      000073.2     000072.3     000065.1  
20060314    170000      02453809.212  002041.009      000073.3     000072.4     000065.2  
20060314    200000      02453809.337  002041.014      000073.6     000072.8     000065.5  
20060314    230000      02453809.462  002041.019      000074.0     000073.2     000065.9  
20060315    170000      02453810.212  002041.046      000073.9     000073.1     000065.8  
20060315    200000      02453810.337  002041.051      000074.2     000073.4     000066.1  
20060315    230000      02453810.462  002041.055      000073.9     000073.1     000065.8  
20060316    170000      02453811.212  002041.083      000072.1     000071.4     000064.3  
20060316    200000      02453811.337  002041.087      000072.4     000071.7     000064.5  
20060316    230000      02453811.462  002041.092      000073.0     000072.3     000065.0  
20060317    170000      02453812.212  002041.119      000071.6     000070.9     000063.8  
20060317    200000      02453812.337  002041.124      000072.0     000071.3     000064.2  
20060317    230000      02453812.462  002041.129      000073.3     000072.6     000065.3  
20060318    170000      02453813.212  002041.156      000073.0     000072.3     000065.1  
20060318    200000      02453813.337  002041.161      000072.4     000071.7     000064.6  
20060318    230000      02453813.462  002041.165      000073.3     000072.6     000065.4  
20060319    170000      02453814.212  002041.193      000075.2     000074.6     000067.1  
20060319    200000      02453814.337  002041.197      000075.2     000074.6     000067.1  
20060319    230000      02453814.462  002041.202      000074.8     000074.2     000066.7  
20060320    170000      02453815.212  002041.229      000076.1     000075.5     000068.0  
20060320    200000      02453815.337  002041.234      000076.9     000076.2     000068.6  
20060320    230000      02453815.462  002041.239      000076.6     000076.0     000068.4  
20060321    170000      02453816.212  002041.266      000077.9     000077.3     000069.5  
20060321    200000      02453816.337  002041.271      000076.7     000076.1     000068.5  
20060321    230000      02453816.462  002041.275      000078.6     000078.0     000070.2  
20060322    170000      02453817.212  002041.303      000076.4     000075.9     000068.3  
20060322    200000      02453817.337  002041.307      000075.9     000075.4     000067.9  
20060322    230000      02453817.462  002041.312      000076.6     000076.1     000068.5  
20060323    170000      02453818.212  002041.339      000075.9     000075.5     000067.9  
20060323    200000      02453818.337  002041.344      000076.6     000076.1     000068.5  
20060323    230000      02453818.462  002041.349      000076.2     000075.8     000068.2  
20060324    170000      02453819.212  002041.376      000075.4     000074.9     000067.4  
20060324    200000      02453819.337  002041.381      000075.8     000075.4     000067.8  
20060324    230000      02453819.462  002041.385      000075.7     000075.3     000067.8  
20060325    170000      02453820.212  002041.413      000075.2     000074.8     000067.3  
20060325    200000      02453820.337  002041.417      000075.6     000075.2     000067.6  
20060325    230000      02453820.462  002041.422      000075.3     000075.0     000067.5  
20060326    170000      02453821.212  002041.449      000073.8     000073.4     000066.1  
20060326    200000      02453821.337  002041.454      000073.6     000073.3     000066.0  
20060326    230000      02453821.462  002041.459      000074.4     000074.1     000066.7  
20060327    170000      02453822.212  002041.486      000073.7     000073.4     000066.1  
20060327    200000      02453822.337  002041.491      000074.3     000074.0     000066.6  
20060327    230000      02453822.462  002041.495      000075.7     000075.4     000067.9  
20060328    170000      02453823.212  002041.523      000077.9     000077.7     000069.9  
20060328    200000      02453823.337  002041.527      000079.3     000079.0     000071.1  
20060328    230000      02453823.462  002041.532      000078.9     000078.6     000070.8  
20060329    170000      02453824.212  002041.559      000081.1     000080.9     000072.8  
20060329    200000      02453824.337  002041.564      000081.7     000081.5     000073.3  
20060329    230000      02453824.462  002041.569      000082.9     000082.7     000074.4  
20060330    170000      02453825.212  002041.596      000083.6     000083.4     000075.0  
20060330    200000      02453825.337  002041.601      000083.9     000083.7     000075.4  
20060330    230000      02453825.462  002041.605      000085.2     000085.0     000076.5  
20060331    170000      02453826.212  002041.633      000085.1     000085.0     000076.5  
20060331    200000      02453826.337  002041.637      000086.3     000086.1     000077.5  
20060331    230000      02453826.462  002041.642      000086.1     000086.0     000077.4  
20060401    170000      02453827.212  002041.669      000086.7     000086.6     000078.0  
20060401    200000      02453827.337  002041.674      000087.0     000086.9     000078.2  
20060401    230000      02453827.462  002041.679      000087.3     000087.2     000078.5  
20060402    170000      02453828.212  002041.706      000090.7     000090.7     000081.6  
20060402    200000      02453828.337  002041.711      000091.1     000091.1     000082.0  
20060402    230000      02453828.462  002041.715      000091.8     000091.7     000082.6  
20060403    170000      02453829.212  002041.743      000103.0     000103.0     000092.7  
20060403    200000      02453829.337  002041.747      000100.4     000100.4     000090.3  
20060403    230000      02453829.462  002041.752      000102.7     000102.7     000092.4  
20060404    170000      02453830.212  002041.779      000099.5     000099.6     000089.6  
20060404    200000      02453830.337  002041.784      000099.5     000099.6     000089.6  
20060404    230000      02453830.462  002041.789      000099.8     000099.9     000089.9  
20060405    170000      02453831.212  002041.816      000099.5     000099.6     000089.7  
20060405    200000      02453831.337  002041.821      000099.0     000099.1     000089.2  
20060405    230000      02453831.462  002041.825      000100.9     000101.0     000090.9  
20060406    170000      02453832.212  002041.853      000099.3     000099.4     000089.5  
20060406    200000      02453832.337  002041.857      000098.9     000099.1     000089.2  
20060406    230000      02453832.462  002041.862      000101.9     000102.1     000091.9  
20060407    170000      02453833.212  002041.889      000095.4     000095.6     000086.0  
20060407    200000      02453833.337  002041.894      000094.5     000094.7     000085.2  
20060407    230000      02453833.462  002041.899      000095.2     000095.4     000085.9  
20060408    170000      02453834.212  002041.926      000090.9     000091.1     000082.0  
20060408    200000      02453834.337  002041.931      000091.0     000091.3     000082.1  
20060408    230000      02453834.462  002041.935      000090.8     000091.1     000082.0  
20060409    170000      02453835.212  002041.963      000088.8     000089.1     000080.2  
20060409    200000      02453835.337  002041.967      000089.2     000089.5     000080.5  
20060409    230000      02453835.462  002041.972      000089.5     000089.8     000080.8  
20060410    170000      02453836.212  002041.999      000087.1     000087.4     000078.7  
20060410    200000      02453836.337  002042.004      000088.7     000089.1     000080.2  
20060410    230000      02453836.462  002042.009      000087.7     000088.1     000079.3  
20060411    170000      02453837.212  002042.036      000084.7     000085.1     000076.6  
20060411    200000      02453837.337  002042.041      000089.7     000090.1     000081.1  
20060411    230000      02453837.462  002042.045      000084.8     000085.2     000076.7  
20060412    170000      02453838.212  002042.073      000081.4     000081.8     000073.6  
20060412    200000      02453838.337  002042.077      000081.1     000081.6     000073.4  
20060412    230000      02453838.462  002042.082      000081.4     000081.8     000073.6  
20060413    170000      02453839.212  002042.109      000079.9     000080.3     000072.3  
20060413    200000      02453839.337  002042.114      000080.0     000080.5     000072.4  
20060413    230000      02453839.462  002042.119      000079.5     000080.0     000072.0  
20060414    170000      02453840.212  002042.146      000078.2     000078.7     000070.8  
20060414    200000      02453840.337  002042.151      000078.9     000079.4     000071.5  
20060414    230000      02453840.462  002042.155      000078.9     000079.4     000071.5  
20060415    170000      02453841.212  002042.183      000077.5     000078.1     000070.3  
20060415    200000      02453841.337  002042.187      000078.4     000078.9     000071.0  
20060415    230000      02453841.462  002042.192      000078.4     000079.0     000071.1  
20060416    170000      02453842.212  002042.219      000076.7     000077.3     000069.5  
20060416    200000      02453842.337  002042.224      000076.5     000077.0     000069.3  
20060416    230000      02453842.462  002042.229      000076.9     000077.4     000069.7  
20060417    170000      02453843.212  002042.256      000076.2     000076.7     000069.1  
20060417    200000      02453843.337  002042.261      000077.9     000078.5     000070.6  
20060417    230000      02453843.462  002042.265      000076.5     000077.1     000069.4  
20060418    170000      02453844.212  002042.293      000075.4     000076.1     000068.5  
20060418    230000      02453844.462  002042.302      000075.8     000076.5     000068.8  
20060419    170000      02453845.212  002042.329      000075.2     000075.9     000068.3  
20060419    200000      02453845.337  002042.334      000075.8     000076.5     000068.8  
20060419    230000      02453845.462  002042.339      000076.1     000076.7     000069.1  
20060420    170000      02453846.212  002042.366      000078.2     000078.9     000071.0  
20060420    200000      02453846.337  002042.371      000078.6     000079.3     000071.4  
20060420    230000      02453846.462  002042.375      000078.7     000079.5     000071.5  
20060421    170000      02453847.212  002042.403      000078.7     000079.5     000071.5  
20060421    200000      02453847.337  002042.407      000079.2     000080.0     000072.0  
20060421    230000      02453847.462  002042.412      000080.4     000081.2     000073.1  
20060422    170000      02453848.212  002042.439      000083.1     000084.0     000075.6  
20060422    200000      02453848.337  002042.444      000082.4     000083.2     000074.9  
20060422    230000      02453848.462  002042.449      000083.6     000084.5     000076.0  
20060423    170000      02453849.212  002042.476      000085.7     000086.7     000078.0  
20060423    200000      02453849.337  002042.481      000086.7     000087.7     000078.9  
20060423    230000      02453849.462  002042.485      000087.6     000088.6     000079.7  
20060424    170000      02453850.212  002042.513      000091.2     000092.3     000083.0  
20060424    200000      02453850.337  002042.517      000092.8     000093.9     000084.5  
20060424    230000      02453850.462  002042.522      000093.3     000094.4     000085.0  
20060425    170000      02453851.212  002042.549      000096.7     000097.8     000088.1  
20060425    200000      02453851.337  002042.554      000095.1     000096.3     000086.7  
20060425    230000      02453851.462  002042.559      000096.6     000097.7     000088.0  
20060426    170000      02453852.212  002042.586      000100.1     000101.4     000091.3  
20060426    200000      02453852.337  002042.591      000100.0     000101.3     000091.2  
20060426    230000      02453852.462  002042.595      000099.6     000100.9     000090.8  
20060427    170000      02453853.212  002042.623      000106.7     000108.1     000097.3  
20060427    200000      02453853.337  002042.627      000100.7     000102.0     000091.8  
20060427    230000      02453853.462  002042.632      000101.4     000102.8     000092.5  
20060428    170000      02453854.212  002042.659      000101.4     000102.8     000092.5  
20060428    200000      02453854.337  002042.664      000100.1     000101.5     000091.4  
20060428    230000      02453854.462  002042.669      000101.4     000102.8     000092.5  
20060429    170000      02453855.212  002042.696      000102.5     000104.0     000093.6  
20060429    200000      02453855.337  002042.701      000101.2     000102.7     000092.4  
20060429    230000      02453855.462  002042.705      000102.5     000103.9     000093.5  
20060430    170000      02453856.212  002042.733      000100.2     000101.7     000091.5  
20060430    200000      02453856.337  002042.737      000099.9     000101.4     000091.2  
20060430    230000      02453856.462  002042.742      000099.1     000100.6     000090.5  
20060501    170000      02453857.212  002042.769      000095.9     000097.4     000087.7  
20060501    200000      02453857.337  002042.774      000093.4     000094.8     000085.3  
20060501    230000      02453857.462  002042.779      000091.5     000092.9     000083.6  
20060502    170000      02453858.212  002042.806      000089.1     000090.5     000081.5  
20060502    200000      02453858.337  002042.811      000089.4     000090.9     000081.8  
20060502    230000      02453858.462  002042.815      000090.1     000091.5     000082.4  
20060503    170000      02453859.212  002042.843      000089.1     000090.5     000081.5  
20060503    200000      02453859.337  002042.847      000089.0     000090.4     000081.4  
20060503    230000      02453859.462  002042.852      000089.5     000090.9     000081.8  
20060504    170000      02453860.212  002042.879      000090.5     000092.1     000082.9  
20060504    200000      02453860.337  002042.884      000091.8     000093.4     000084.0  
20060504    230000      02453860.462  002042.888      000090.5     000092.0     000082.8  
20060505    170000      02453861.212  002042.916      000087.5     000089.0     000080.1  
20060505    200000      02453861.337  002042.921      000086.7     000088.2     000079.4  
20060505    230000      02453861.462  002042.925      000087.7     000089.3     000080.3  
20060506    170000      02453862.212  002042.953      000086.4     000087.9     000079.2  
20060506    200000      02453862.337  002042.957      000087.0     000088.6     000079.7  
20060506    230000      02453862.462  002042.962      000086.2     000087.7     000079.0  
20060507    170000      02453863.212  002042.989      000085.7     000087.3     000078.5  
20060507    200000      02453863.337  002042.994      000086.2     000087.8     000079.0  
20060507    230000      02453863.462  002042.998      000086.6     000088.2     000079.4  
20060508    170000      02453864.212  002043.026      000084.5     000086.1     000077.5  
20060508    200000      02453864.337  002043.031      000084.7     000086.3     000077.6  
20060508    230000      02453864.462  002043.035      000085.0     000086.6     000077.9  
20060509    170000      02453865.212  002043.063      000082.4     000084.0     000075.6  
20060509    200000      02453865.337  002043.067      000082.6     000084.2     000075.8  
20060509    230000      02453865.462  002043.072      000082.0     000083.6     000075.2  
20060510    170000      02453866.212  002043.099      000078.2     000079.7     000071.8  
20060510    200000      02453866.337  002043.104      000078.2     000079.8     000071.8  
20060510    230000      02453866.462  002043.108      000077.8     000079.3     000071.4  
20060511    170000      02453867.212  002043.136      000075.6     000077.1     000069.4  
20060511    200000      02453867.337  002043.141      000076.4     000077.9     000070.1  
20060511    230000      02453867.462  002043.145      000076.6     000078.1     000070.3  
20060512    170000      02453868.212  002043.173      000075.2     000076.7     000069.0  
20060512    200000      02453868.337  002043.177      000075.7     000077.3     000069.5  
20060512    230000      02453868.462  002043.182      000075.4     000077.0     000069.3  
20060513    170000      02453869.212  002043.209      000073.6     000075.1     000067.6  
20060513    200000      02453869.337  002043.214      000073.5     000075.0     000067.5  
20060513    230000      02453869.462  002043.218      000073.4     000075.0     000067.5  
20060514    170000      02453870.212  002043.246      000072.2     000073.7     000066.3  
20060514    200000      02453870.337  002043.251      000072.0     000073.6     000066.2  
20060514    230000      02453870.462  002043.255      000072.4     000074.0     000066.6  
20060515    170000      02453871.212  002043.283      000071.7     000073.3     000066.0  
20060515    200000      02453871.337  002043.287      000071.7     000073.2     000065.9  
20060515    230000      02453871.462  002043.292      000071.8     000073.4     000066.1  
20060516    170000      02453872.212  002043.319      000070.7     000072.3     000065.1  
20060516    200000      02453872.337  002043.324      000071.5     000073.1     000065.8  
20060516    230000      02453872.462  002043.328      000071.8     000073.4     000066.1  
20060517    170000      02453873.212  002043.356      000071.5     000073.1     000065.8  
20060517    200000      02453873.337  002043.361      000072.0     000073.6     000066.3  
20060517    230000      02453873.462  002043.365      000073.3     000075.0     000067.5  
20060518    170000      02453874.212  002043.393      000072.8     000074.5     000067.1  
20060518    200000      02453874.337  002043.397      000073.3     000075.0     000067.5  
20060518    230000      02453874.462  002043.402      000073.5     000075.2     000067.7  
20060519    170000      02453875.212  002043.429      000074.7     000076.5     000068.9  
20060519    200000      02453875.337  002043.434      000075.3     000077.1     000069.4  
20060519    230000      02453875.462  002043.438      000076.0     000077.9     000070.1  
20060520    170000      02453876.212  002043.466      000075.9     000077.7     000070.0  
20060520    200000      02453876.337  002043.471      000076.2     000078.0     000070.2  
20060520    230000      02453876.462  002043.475      000077.2     000079.1     000071.2  
20060521    170000      02453877.212  002043.503      000076.8     000078.7     000070.8  
20060521    200000      02453877.337  002043.507      000077.5     000079.4     000071.5  
20060521    230000      02453877.462  002043.512      000077.9     000079.8     000071.9  
20060522    170000      02453878.212  002043.539      000081.2     000083.2     000074.9  
20060522    200000      02453878.337  002043.544      000083.1     000085.1     000076.6  
20060522    230000      02453878.462  002043.548      000082.0     000084.0     000075.6  
20060523    170000      02453879.212  002043.576      000084.6     000086.8     000078.1  
20060523    200000      02453879.337  002043.581      000084.2     000086.3     000077.7  
20060523    230000      02453879.462  002043.585      000084.8     000087.0     000078.3  
20060524    170000      02453880.212  002043.613      000083.2     000085.4     000076.8  
20060524    200000      02453880.337  002043.617      000083.7     000085.9     000077.3  
20060524    230000      02453880.462  002043.622      000083.6     000085.7     000077.1  
20060525    170000      02453881.212  002043.649      000082.1     000084.2     000075.8  
20060525    200000      02453881.337  002043.654      000083.7     000085.9     000077.3  
20060525    230000      02453881.462  002043.658      000083.0     000085.2     000076.6  
20060526    170000      02453882.212  002043.686      000081.6     000083.8     000075.4  
20060526    200000      02453882.337  002043.690      000081.6     000083.8     000075.4  
20060526    230000      02453882.462  002043.695      000082.2     000084.4     000076.0  
20060527    170000      02453883.212  002043.723      000083.2     000085.5     000076.9  
20060527    200000      02453883.337  002043.727      000083.0     000085.2     000076.7  
20060527    230000      02453883.462  002043.732      000084.2     000086.5     000077.8  
20060528    170000      02453884.212  002043.759      000084.8     000087.1     000078.4  
20060528    200000      02453884.337  002043.764      000084.7     000087.0     000078.3  
20060528    230000      02453884.462  002043.768      000084.4     000086.7     000078.1  
20060529    170000      02453885.212  002043.796      000080.6     000082.8     000074.5  
20060529    200000      02453885.337  002043.800      000081.1     000083.3     000075.0  
20060529    230000      02453885.462  002043.805      000081.5     000083.8     000075.4  
20060530    170000      02453886.212  002043.833      000079.7     000082.0     000073.8  
20060530    200000      02453886.337  002043.837      000080.0     000082.3     000074.0  
20060530    230000      02453886.462  002043.842      000080.2     000082.4     000074.2  
20060531    170000      02453887.212  002043.869      000078.7     000080.9     000072.8  
20060531    200000      02453887.337  002043.874      000078.4     000080.6     000072.5  
20060531    230000      02453887.462  002043.878      000078.1     000080.3     000072.3  
20060601    170000      02453888.212  002043.906      000077.1     000079.3     000071.4  
20060601    200000      02453888.337  002043.910      000077.2     000079.4     000071.4  
20060601    230000      02453888.462  002043.915      000077.4     000079.6     000071.6  
20060602    170000      02453889.212  002043.943      000074.4     000076.6     000068.9  
20060602    200000      02453889.337  002043.947      000075.3     000077.5     000069.7  
20060602    230000      02453889.462  002043.952      000076.5     000078.7     000070.8  
20060603    170000      02453890.212  002043.979      000075.6     000077.8     000070.0  
20060603    200000      02453890.337  002043.984      000075.9     000078.1     000070.3  
20060603    230000      02453890.462  002043.988      000076.1     000078.4     000070.5  
20060604    170000      02453891.212  002044.016      000075.4     000077.6     000069.8  
20060604    200000      02453891.337  002044.020      000075.6     000077.8     000070.0  
20060604    230000      02453891.462  002044.025      000076.9     000079.2     000071.3  
20060605    170000      02453892.212  002044.053      000077.3     000079.5     000071.6  
20060605    200000      02453892.337  002044.057      000077.9     000080.2     000072.1  
20060605    230000      02453892.462  002044.062      000077.6     000079.9     000071.9  
20060606    170000      02453893.212  002044.089      000077.7     000080.0     000072.0  
20060606    200000      02453893.337  002044.094      000078.0     000080.3     000072.3  
20060606    230000      02453893.462  002044.098      000079.5     000081.9     000073.7  
20060607    170000      02453894.212  002044.126      000082.6     000085.1     000076.6  
20060607    200000      02453894.337  002044.130      000082.7     000085.2     000076.6  
20060607    230000      02453894.462  002044.135      000083.4     000085.9     000077.3  
20060608    170000      02453895.212  002044.163      000081.7     000084.1     000075.7  
20060608    200000      02453895.337  002044.167      000080.0     000082.5     000074.2  
20060608    230000      02453895.462  002044.172      000080.7     000083.2     000074.8  
20060609    170000      02453896.212  002044.199      000077.9     000080.3     000072.3  
20060609    200000      02453896.337  002044.204      000077.6     000080.0     000072.0  
20060609    230000      02453896.462  002044.208      000078.2     000080.6     000072.5  
20060610    170000      02453897.212  002044.236      000077.3     000079.6     000071.7  
20060610    200000      02453897.337  002044.240      000076.1     000078.5     000070.6  
20060610    230000      02453897.462  002044.245      000077.1     000079.5     000071.5  
20060611    170000      02453898.212  002044.273      000074.3     000076.6     000068.9  
20060611    200000      02453898.337  002044.277      000074.4     000076.7     000069.0  
20060611    230000      02453898.462  002044.282      000074.8     000077.2     000069.4  
20060612    170000      02453899.212  002044.309      000073.5     000075.8     000068.2  
20060612    200000      02453899.337  002044.314      000074.2     000076.5     000068.9  
20060612    230000      02453899.462  002044.318      000074.7     000077.0     000069.3  
20060613    170000      02453900.212  002044.346      000076.3     000078.7     000070.8  
20060613    200000      02453900.337  002044.350      000077.1     000079.5     000071.6  
20060613    230000      02453900.462  002044.355      000077.3     000079.8     000071.8  
20060614    170000      02453901.212  002044.383      000076.3     000078.7     000070.8  
20060614    200000      02453901.337  002044.387      000075.3     000077.7     000069.9  
20060614    230000      02453901.462  002044.392      000075.9     000078.3     000070.4  
20060615    170000      02453902.212  002044.419      000076.1     000078.6     000070.7  
20060615    200000      02453902.337  002044.424      000076.4     000078.8     000070.9  
20060615    230000      02453902.462  002044.428      000076.9     000079.3     000071.4  
20060616    170000      02453903.212  002044.456      000075.6     000078.0     000070.2  
20060616    200000      02453903.337  002044.460      000075.3     000077.7     000070.0  
20060616    230000      02453903.462  002044.465      000076.0     000078.4     000070.6  
20060617    170000      02453904.212  002044.492      000073.7     000076.1     000068.5  
20060617    200000      02453904.337  002044.497      000073.2     000075.6     000068.0  
20060617    230000      02453904.462  002044.502      000073.4     000075.8     000068.2  
20060618    170000      02453905.212  002044.529      000073.1     000075.5     000068.0  
20060618    200000      02453905.337  002044.534      000073.3     000075.7     000068.1  
20060618    230000      02453905.462  002044.538      000074.4     000076.8     000069.1  
20060619    170000      02453906.212  002044.566      000073.0     000075.3     000067.8  
20060619    200000      02453906.337  002044.570      000073.3     000075.7     000068.1  
20060619    230000      02453906.462  002044.575      000073.3     000075.7     000068.1  
20060620    170000      02453907.212  002044.602      000072.8     000075.1     000067.6  
20060620    200000      02453907.337  002044.607      000072.9     000075.3     000067.8  
20060620    230000      02453907.462  002044.612      000073.2     000075.6     000068.0  
20060621    170000      02453908.212  002044.639      000072.1     000074.4     000067.0  
20060621    200000      02453908.337  002044.644      000072.7     000075.1     000067.6  
20060621    230000      02453908.462  002044.648      000073.2     000075.6     000068.0  
20060622    170000      02453909.212  002044.676      000071.7     000074.0     000066.6  
20060622    200000      02453909.337  002044.680      000072.1     000074.4     000067.0  
20060622    230000      02453909.462  002044.685      000072.3     000074.7     000067.2  
20060623    170000      02453910.212  002044.712      000070.9     000073.3     000065.9  
20060623    200000      02453910.337  002044.717      000071.8     000074.1     000066.7  
20060623    230000      02453910.462  002044.722      000071.9     000074.3     000066.9  
20060624    170000      02453911.212  002044.749      000072.8     000075.2     000067.7  
20060624    200000      02453911.337  002044.754      000073.6     000076.1     000068.5  
20060624    230000      02453911.462  002044.758      000073.7     000076.1     000068.5  
20060625    170000      02453912.212  002044.786      000074.0     000076.4     000068.8  
20060625    200000      02453912.337  002044.790      000074.0     000076.5     000068.8  
20060625    230000      02453912.462  002044.795      000074.6     000077.1     000069.4  
20060626    170000      02453913.212  002044.822      000075.4     000077.9     000070.1  
20060626    200000      02453913.337  002044.827      000076.4     000079.0     000071.1  
20060626    230000      02453913.462  002044.832      000077.6     000080.2     000072.2  
20060627    170000      02453914.212  002044.859      000078.3     000080.9     000072.8  
20060627    200000      02453914.337  002044.864      000078.5     000081.2     000073.0  
20060627    230000      02453914.462  002044.868      000079.9     000082.6     000074.3  
20060628    170000      02453915.212  002044.896      000082.5     000085.3     000076.8  
20060628    200000      02453915.337  002044.900      000083.5     000086.3     000077.6  
20060628    230000      02453915.462  002044.905      000084.0     000086.8     000078.1  
20060629    170000      02453916.212  002044.932      000085.9     000088.7     000079.9  
20060629    200000      02453916.337  002044.937      000085.5     000088.4     000079.5  
20060629    230000      02453916.462  002044.942      000086.0     000088.9     000080.0  
20060630    170000      02453917.212  002044.969      000087.0     000090.0     000081.0  
20060630    200000      02453917.337  002044.974      000086.1     000089.0     000080.1  
20060630    230000      02453917.462  002044.978      000086.2     000089.1     000080.2  
20060701    170000      02453918.212  002045.006      000084.5     000087.3     000078.6  
20060701    200000      02453918.337  002045.010      000085.5     000088.4     000079.5  
20060701    230000      02453918.462  002045.015      000085.6     000088.4     000079.6  
20060702    170000      02453919.212  002045.042      000087.1     000090.1     000081.1  
20060702    200000      02453919.337  002045.047      000087.1     000090.0     000081.0  
20060702    230000      02453919.462  002045.052      000086.9     000089.8     000080.8  
20060703    170000      02453920.212  002045.079      000085.9     000088.7     000079.9  
20060703    200000      02453920.337  002045.084      000085.9     000088.8     000080.0  
20060703    230000      02453920.462  002045.088      000089.9     000092.9     000083.6  
20060704    170000      02453921.212  002045.116      000087.7     000090.6     000081.6  
20060704    200000      02453921.337  002045.120      000092.0     000095.1     000085.6  
20060704    230000      02453921.462  002045.125      000091.4     000094.5     000085.0  
20060705    170000      02453922.212  002045.152      000086.4     000089.3     000080.4  
20060705    200000      02453922.337  002045.157      000084.7     000087.5     000078.8  
20060705    230000      02453922.462  002045.162      000085.1     000088.0     000079.2  
20060706    170000      02453923.212  002045.189      000086.0     000088.9     000080.0  
20060706    200000      02453923.337  002045.194      000085.0     000087.9     000079.1  
20060706    230000      02453923.462  002045.198      000082.7     000085.5     000076.9  
20060707    170000      02453924.212  002045.226      000080.3     000083.0     000074.7  
20060707    200000      02453924.337  002045.230      000079.9     000082.6     000074.4  
20060707    230000      02453924.462  002045.235      000079.8     000082.5     000074.3  
20060708    170000      02453925.212  002045.262      000077.7     000080.3     000072.3  
20060708    200000      02453925.337  002045.267      000077.4     000080.0     000072.0  
20060708    230000      02453925.462  002045.272      000078.1     000080.7     000072.6  
20060709    170000      02453926.212  002045.299      000074.5     000077.0     000069.3  
